"STOCK LIST AS AT 06.04.26, 11.16AM",,,,,,
,,,,,,
,,,,,,
BIN,Item Code,Description,Desc 2,Total Bal. Qty,Cost,Item Group
WHEEL,LW-TYT-R-254X190X120,TOYOTA LOAD WHEEL 5/6/7FBR15-[254MMX190MMX120MM] [PU]-RECOATING,254X190X120,11,113.35,WHEEL
WHEEL,LW-TYT-R-267X165X127,RECOATING TOYOTA LOAD WHEEL 267MMX165MMX127MM[6/7FBR20],267X165X127,2,249,WHEEL
WHEEL,LW-TYT-R-5/6/7FBR13,TOYOTA LOAD WHEEL 5/6/7FBR13-[254MMX158MMX120MM] [PU]-RECOATING ,254X158X120,2,153,WHEEL
WHEEL,SW-BT-R-127X90X55,RECOATING BT STACKER SUPPORT WHEEL 127MMX90MMX55MM,127X90X55,0,54,WHEEL
WHEEL,SW-C-125x50/54x20 MDI,SUPPORT WHEEL,125x50/54x20 MDI,16,43.72,WHEEL
WHEEL,SW-C-150X80,SUPPORT WHEEL ,150X80X72,0,78.97,WHEEL
WHEEL,SW-TYT-R-120X100X80-7FBR,RECOATING TOYOTA SUPPORT WHEEL 120MMX100MMX80MM [7FBR] [PU],120X100X80,4,54,WHEEL
WHEEL,SW-TYT-R-127X90X40,RECOATING BT STACKER SUPPORT WHEEL 127MMX90MMX40MM,127X90X40,6,54,WHEEL
WHEEL,SW-TYT-R-150X100X80-7FBR,RECOATING TOYOTA SUPPORT WHEEL 150MMX100MMX80MM [7FBR] [PU],150X100X80,15,53.99,WHEEL
WHEEL,SW-TYT-R-178X127X76-5FBR15,RECOATING TOYOTA LOAD WHEEL 178MMX127MMX76MM [5FBR15] [PU]LNM,178X127X76,0,55,WHEEL
WHEEL,SW-TYT-R-178X128X73,RECOATING TOYOTA SUPPORT WHEEL 178MMX128MMX73MM [6FBR] [PU],178X128X73,4,54,WHEEL
WHEEL,SW-TYT-R-178X128X73[NYK],RECOATING TOYOTA SUPPORT WHEEL 178MMX128MMX73MM [NYK],178X128X73,0,54,WHEEL
WHEEL,SW-TYT-R-178X128X73-5FBR15,RECOATING TOYOTA SUPPORT WHEEL 178MMX128MMX73MM [5FBR15] [PU] 2IN1,178X128X73,4,203,WHEEL
WHEEL,SW-TYT-R-204X176X76,RECOATING TOYOTA SUPPORT WHEEL 204MMX176MMX76MM [PU],204X176X76,4,91,WHEEL
WHEEL,SW-TYT-R-2in1-204X176X76,RECOATING TOYOTA SUPPORT WHEEL 204MMX176MMX76MM 2IN1,204X176X76,2,156,WHEEL
WHEEL,SW-TYT-R-D-150X100X80,RECOATING TOYOTA SUPPORT WHEEL 150MMX100MMX80MM  [ 2IN1 ],150X100X80,4,108,WHEEL
WHEEL,SW-WH-R-140X90X55,RECOATING SUPPORT WHEEL 140MMX90MMX55MM,140X90X55,6,54,WHEEL
ATTACHMENT,BTP181536,STAND PLATFORM P20 LPE200,S-01341,0,330,S/PARTS
ATTACHMENT,D03/ZHF25-1020A,FORK POSITIONER 2.5 TON C/W SIDE SHIFT,VFPS25K-013A-1020,0,2733.36,ATTACH
ATTACHMENT,D03/ZHF25-1040A,HINGED FORK 2.5 TON,,,4200,ATTACH
ATTACHMENT,D03/ZHF45-1450A,FORK POSITIONER 4.5 TON C/W SIDE SHIFT,VFPS45D-001B-1450,0,7368.59,ATTACH
ATTACHMENT,D03/ZRF25-1020PA,SIDE SHIFT 2.5 TON,VCY25D-1020A,11,851.79,ATTACH
